code,name,credits,professor_id
ART101,현대예술의이해,2,P003
BIOL101,일반생물학,3,P003
CHEM101,일반화학,3,P001
CHEM102,유기화학,3,P001
COMP101,C프로그래밍,4,P001
COMP102,문제해결및실습JAVA,3,P001
COMP201,자료구조,4,P001
COMP202,데이터베이스,3,P001
COMP301,웹기반시스템,3,P001
COMP302,Capstone디자인,6,P001
ECON101,경제학원론,3,P003
ELEC101,전자회로,3,P002
ELEC102,반도체소자공학,3,P002
ELEC201,디지털시스템,3,P002
ELEC202,통신이론,3,P002
HIST101,세계사,3,P003
LANG101,"English Writing",2,P002
MATH101,미적분학,3,P001
MECH101,기계요소설계,3,P002
MECH102,전산열유체역학,3,P002
MGMT101,창업과기업가정신,1,P003
MGMT102,재무통섭론,3,P003
MGMT201,관리경제학,3,P003
MGMT202,회계통제시스템,3,P003
PHIL101,서양철학,3,P001
PHYS101,일반물리학,3,P002
PSYC101,미술심리치료,3,P002
SOFT101,소프트웨어공학,3,P001
SOFT102,운영체제,3,P001
STAT101,해석학개론,3,P001
